skill,count,percentage
project,397,11.64906103286385
leadership and management,378,11.091549295774648
analysis,364,10.68075117370892
computer programming,266,7.805164319248827
machine learning,253,7.423708920187794
python programming,239,7.012910798122066
strategy,219,6.426056338028169
modeling,211,6.19131455399061
planning,192,5.633802816901409
writing,178,5.22300469483568
communication,176,5.164319248826291
data analysis,170,4.988262910798122
language,168,4.929577464788732
process,157,4.606807511737089
human learning,152,4.460093896713615
euler's totient function,146,4.284037558685446
ordered pair,144,4.225352112676056
finance,143,4.196009389671362
web,140,4.107981220657277
software,123,3.609154929577465
evaluation,122,3.5798122065727704
general statistics,120,3.5211267605633805
leadership,119,3.491784037558685
cloud computing,119,3.491784037558685
history,119,3.491784037558685
english language,118,3.4624413145539905
market (economics),117,3.433098591549296
algorithms,112,3.286384976525822
marketing,107,3.1396713615023475
security,102,2.992957746478873
law,96,2.8169014084507045
thought,94,2.7582159624413145
education,89,2.61150234741784
innovation,88,2.5821596244131455
relative change and difference,85,2.494131455399061
teaching,84,2.464788732394366
experience,84,2.464788732394366
databases,79,2.318075117370892
deep learning,78,2.2887323943661975
analytics,77,2.2593896713615025
regression,76,2.2300469483568075
accounting,74,2.171361502347418
artificial neural networks,74,2.171361502347418
music,74,2.171361502347418
tensorflow,73,2.142018779342723
energy,72,2.112676056338028
sql,68,1.9953051643192488
entrepreneurship,68,1.9953051643192488
physics,67,1.965962441314554
global,67,1.965962441314554
project mine,67,1.965962441314554
software engineering,67,1.965962441314554
resource,65,1.9072769953051645
project management,65,1.9072769953051645
sustainability,65,1.9072769953051645
presentation,64,1.8779342723004695
google cloud platform,64,1.8779342723004695
materials,64,1.8779342723004695
risk,62,1.8192488262910798
mechanical engineering,62,1.8192488262910798
mathematical optimization,62,1.8192488262910798
data visualization,60,1.7605633802816902
supply chain,60,1.7605633802816902
culture,60,1.7605633802816902
measurement,58,1.7018779342723005
cloud platforms,58,1.7018779342723005
public health,58,1.7018779342723005
html,58,1.7018779342723005
economics,57,1.6725352112676055
i-deas,56,1.643192488262911
internet,56,1.643192488262911
web development,56,1.643192488262911
interfaces,55,1.613849765258216
big data,54,1.584507042253521
biology,53,1.5551643192488263
art,53,1.5551643192488263
psychology,52,1.5258215962441315
microsoft excel,51,1.4964788732394365
electrical engineering,50,1.4671361502347418
r programming,50,1.4671361502347418
investment,50,1.4671361502347418
patient,49,1.437793427230047
numbers (spreadsheet),48,1.4084507042253522
performance,48,1.4084507042253522
average,48,1.4084507042253522
interactivity,48,1.4084507042253522
stock,48,1.4084507042253522
principle,48,1.4084507042253522
social media,48,1.4084507042253522
javascript,48,1.4084507042253522
problem solving,47,1.3791079812206573
internet of things,47,1.3791079812206573
statistical classification,47,1.3791079812206573
disease,46,1.3497652582159625
electronics,45,1.3204225352112675
speech,45,1.3204225352112675
digital marketing,45,1.3204225352112675
computer graphics,45,1.3204225352112675
behavior,45,1.3204225352112675
training,45,1.3204225352112675
grammar,44,1.2910798122065728
art history,44,1.2910798122065728
cost,44,1.2910798122065728
java annotation,43,1.261737089201878
sales,43,1.261737089201878
creativity,43,1.261737089201878
chemistry,42,1.232394366197183
listening,42,1.232394366197183
application programming interfaces,42,1.232394366197183
personal advertisement,42,1.232394366197183
regression analysis,41,1.2030516431924883
economy,41,1.2030516431924883
brand,41,1.2030516431924883
operations management,40,1.1737089201877933
critical thinking,40,1.1737089201877933
cryptography,40,1.1737089201877933
linearity,40,1.1737089201877933
chart,40,1.1737089201877933
architecture,39,1.1443661971830987
employment,39,1.1443661971830987
climate change,39,1.1443661971830987
chemical engineering,38,1.1150234741784038
studentized residual,38,1.1150234741784038
map,38,1.1150234741784038
simulation,38,1.1150234741784038
interview,38,1.1150234741784038
trading,37,1.085680751173709
user experience,37,1.085680751173709
blockchain,37,1.085680751173709
java (software platform),37,1.085680751173709
flow network,37,1.085680751173709
business plan,36,1.056338028169014
medicine,36,1.056338028169014
philosophy,36,1.056338028169014
c++,36,1.056338028169014
child,36,1.056338028169014
user interface,36,1.056338028169014
organizing (management),36,1.056338028169014
natural language processing,36,1.056338028169014
film,35,1.0269953051643192
business analytics,35,1.0269953051643192
video game development,35,1.0269953051643192
.properties,35,1.0269953051643192
experiment,35,1.0269953051643192
astronomy,35,1.0269953051643192
graphs,35,1.0269953051643192
data clustering algorithms,34,0.9976525821596244
collaboration,34,0.9976525821596244
web application,33,0.9683098591549295
benefits,33,0.9683098591549295
data structures,33,0.9683098591549295
ethics,33,0.9683098591549295
reason,33,0.9683098591549295
computer vision,33,0.9683098591549295
civil engineering,32,0.9389671361502347
display devices,32,0.9389671361502347
keras,32,0.9389671361502347
lecture,32,0.9389671361502347
audience,31,0.9096244131455399
english grammar,31,0.9096244131455399
genetics,31,0.9096244131455399
career,31,0.9096244131455399
relational database,31,0.9096244131455399
evolution,31,0.9096244131455399
documents,30,0.8802816901408451
syntax,30,0.8802816901408451
religion,30,0.8802816901408451
stress,30,0.8802816901408451
android development,30,0.8802816901408451
anatomy,30,0.8802816901408451
java programming,30,0.8802816901408451
piano,30,0.8802816901408451
design thinking,29,0.8509389671361502
sources,29,0.8509389671361502
exercise,29,0.8509389671361502
probability,29,0.8509389671361502
storytelling,28,0.8215962441314555
bigquery,28,0.8215962441314555
authentication,28,0.8215962441314555
asset,28,0.8215962441314555
command-line interface,28,0.8215962441314555
influencing,28,0.8215962441314555
chinese language,28,0.8215962441314555
peer review,27,0.7922535211267605
international relations,27,0.7922535211267605
manufacturing process management,27,0.7922535211267605
bioinformatics,27,0.7922535211267605
mathematics,27,0.7922535211267605
human resources,27,0.7922535211267605
poetry writing,27,0.7922535211267605
video editing,27,0.7922535211267605
value proposition,27,0.7922535211267605
safety,27,0.7922535211267605
geology,26,0.7629107981220657
estimation,26,0.7629107981220657
linear regression,26,0.7629107981220657
change management,26,0.7629107981220657
market segmentation,26,0.7629107981220657
strategic management,26,0.7629107981220657
graphic design,26,0.7629107981220657
exploratory data analysis,26,0.7629107981220657
corporate bond,26,0.7629107981220657
negotiation,26,0.7629107981220657
decision making,26,0.7629107981220657
political science,25,0.7335680751173709
utility,25,0.7335680751173709
causality,25,0.7335680751173709
ios development,25,0.7335680751173709
business strategy,25,0.7335680751173709
health care,25,0.7335680751173709
