user_id,skills,experience_levels,skills_text,num_skills,primary_clusters,avg_experience
0,"['writing', 'regression', 'natural language processing', 'consumer behaviour', 'jpeg']","[5, 3, 3, 4, 2]",writing  regression  natural language processing  consumer behaviour  jpeg,5,"[2, 1]",3.4
1,"['authentication', 'digital signature', 'software engineering', 'korean language', 'product management']","[3, 3, 4, 3, 2]",authentication  digital signature  software engineering  korean language  product management,5,[6],3.0
2,"['informatics', 'cloud computing', 'databases', 'sql', 'keras', 'deep learning']","[3, 4, 4, 4, 3, 2]",informatics  cloud computing  databases  sql  keras  deep learning,6,"[0, 6]",3.3333333333333335
3,"['principle', 'trading', 'process', 'game design', 'natural language processing', 'chaining', 'design thinking']","[5, 4, 3, 2, 3, 3, 1]",principle  trading  process  game design  natural language processing  chaining  design thinking,7,[0],3.0
4,"['object-oriented programming', 'software', 'i-deas', 'training and development', 'sap erp']","[4, 3, 3, 1, 2]",object-oriented programming  software  i-deas  training and development  sap erp,5,[5],2.6
5,"['keras', 'modeling', 'forecasting', 'experiment', 'memory', 'machine learning data-science machine-learning']","[4, 5, 5, 5, 2, 2]",keras  modeling  forecasting  experiment  memory  machine learning data-science machine-learning,6,[1],3.8333333333333335
6,"['marketing', 'thought', 'case study', 'supply chain', 'jpeg', 'graphic design', 'business analytics', 'map']","[5, 5, 3, 5, 2, 3, 3, 3]",marketing  thought  case study  supply chain  jpeg  graphic design  business analytics  map,8,[0],3.625
7,"['stock', 'leadership', 'strategy', 'organizing (management)', 'population', 'interpretation', 'sales management']","[4, 4, 5, 4, 2, 3, 2]",stock  leadership  strategy  organizing (management)  population  interpretation  sales management,7,[0],3.4285714285714284
8,"['leadership and management', 'project', 'ggplot2', 'health']","[5, 4, 2, 1]",leadership and management  project  ggplot2  health,4,[0],3.0
9,"['investment', 'conflict resolution', 'php', 'user story', 'business law', 'spreadsheet software', 'game design', 'linear regression']","[5, 3, 4, 5, 4, 4, 2, 2]",investment  conflict resolution  php  user story  business law  spreadsheet software  game design  linear regression,8,"[0, 5]",3.625
10,"['neuroscience', 'circular economy', 'justice', 'chaining', 'hashing']","[5, 5, 2, 3, 2]",neuroscience  circular economy  justice  chaining  hashing,5,[4],3.4
11,"['cloud computing', 'cloud platforms', 'databases', 'project mine', 'approximation error', 'empathy', 'evaluation']","[5, 3, 5, 4, 3, 3, 1]",cloud computing  cloud platforms  databases  project mine  approximation error  empathy  evaluation,7,"[6, 1]",3.4285714285714284
12,"['journalism', ""euler's totient function"", 'python programming', 'object detection', 'illustration', 'modulo operation']","[3, 4, 3, 5, 3, 3]",journalism  euler's totient function  python programming  object detection  illustration  modulo operation,6,"[0, 1]",3.5
13,"['physics', 'renewable energy', 'operations management', 'leadership and management', 'audit', 'parenting', 'version control', 'risk factor']","[3, 5, 5, 3, 5, 4, 2, 1]",physics  renewable energy  operations management  leadership and management  audit  parenting  version control  risk factor,8,"[3, 0]",3.5
14,"['sorting', 'php', '.properties', 'css', 'purchasing', 'regression analysis']","[5, 3, 5, 3, 2, 1]",sorting  php  .properties  css  purchasing  regression analysis,6,[5],3.1666666666666665
15,"['conflict resolution', 'linguistics', 'predictive modelling', 'user research', 'urban planning']","[5, 4, 4, 3, 2]",conflict resolution  linguistics  predictive modelling  user research  urban planning,5,"[0, 2]",3.6
16,"['strategy', 'leadership and management', 'acoustics', 'user story', 'security']","[5, 4, 4, 4, 2]",strategy  leadership and management  acoustics  user story  security,5,[0],3.8
17,"['email writing', 'sustainability', 'case study', 'use case', 'ecosystems']","[3, 3, 3, 2, 3]",email writing  sustainability  case study  use case  ecosystems,5,"[2, 4]",2.8
18,"['finance', 'marketing mix', 'change management', 'finance business finance', 'research methods', 'node.js']","[5, 3, 3, 3, 3, 1]",finance  marketing mix  change management  finance business finance  research methods  node.js,6,[0],3.0
19,"['matrices', 'file shortcut', 'gratitude', 'augmented reality', 'news', 'computer animation']","[4, 4, 4, 4, 2, 1]",matrices  file shortcut  gratitude  augmented reality  news  computer animation,6,[1],3.1666666666666665
20,"['artificial neural networks', 'human learning', 'deep learning', 'leadership and management', 'balance sheet', 'performance', 'guitar', 'c++', 'nutrition']","[5, 5, 3, 4, 3, 3, 2, 2, 2]",artificial neural networks  human learning  deep learning  leadership and management  balance sheet  performance  guitar  c++  nutrition,9,"[1, 0]",3.2222222222222223
21,"['financial markets', 'sources', 'market segmentation', 'brainstorming', 'illustration', 'gene', 'culture']","[3, 5, 5, 3, 4, 3, 3]",financial markets  sources  market segmentation  brainstorming  illustration  gene  culture,7,[0],3.7142857142857144
22,"['anatomy', 'biodiversity', 'emergency', 'arcgis', 'dialogue', 'spreadsheet']","[4, 3, 5, 2, 3, 3]",anatomy  biodiversity  emergency  arcgis  dialogue  spreadsheet,6,[4],3.3333333333333335
23,"['training', 'bayesian', 'analysis', 'linguistics', 'proposition', 'email writing']","[3, 4, 3, 2, 3, 3]",training  bayesian  analysis  linguistics  proposition  email writing,6,[1],3.0
24,"['project', 'process', 'economy', 'fundraising', 'religion', 'r programming']","[5, 4, 5, 3, 2, 2]",project  process  economy  fundraising  religion  r programming,6,[0],3.5
25,"['training', 'modeling', 'python programming', 'tracking', 'thought', 'project', 'academic writing', 'java annotation', 'human resources']","[4, 3, 5, 4, 5, 4, 3, 2, 1]",training  modeling  python programming  tracking  thought  project  academic writing  java annotation  human resources,9,"[1, 0]",3.4444444444444446
26,"['computer vision', 'permutations', 'interfaces', 'javascript', 'leadership', 'speech', 'pedagogy']","[3, 5, 5, 5, 4, 4, 3]",computer vision  permutations  interfaces  javascript  leadership  speech  pedagogy,7,"[1, 5]",4.142857142857143
27,"['statistical hypothesis testing', 'training', 'front and back ends', 'leadership development', 'intellectual', 'phenomenon']","[3, 3, 4, 4, 4, 3]",statistical hypothesis testing  training  front and back ends  leadership development  intellectual  phenomenon,6,[1],3.5
28,"['autocad', 'continuous function', 'performance', 'six sigma', 'mobile app']","[5, 5, 3, 3, 3]",autocad  continuous function  performance  six sigma  mobile app,5,"[3, 0]",3.8
29,"['teaching', 'presentation', ""euler's totient function"", 'i-deas', 'tracking', 'intellectual']","[5, 5, 4, 2, 2, 2]",teaching  presentation  euler's totient function  i-deas  tracking  intellectual,6,"[2, 1]",3.3333333333333335
30,"['python programming', 'machine learning', 'constitution', 'computer-aided design']","[3, 3, 3, 2]",python programming  machine learning  constitution  computer-aided design,4,[1],2.75
31,"['data analysis', 'studentized residual', 'methodology', 'accounting', 'presentation', 'display devices', 'maximization (psychology)', 'file shortcut']","[5, 5, 3, 3, 2, 3, 3, 3]",data analysis  studentized residual  methodology  accounting  presentation  display devices  maximization (psychology)  file shortcut,8,"[1, 0]",3.375
32,"['academic writing', 'anxiety', 'causality', 'writing', 'investment', 'web application', 'finance business finance', 'biostatistics']","[3, 4, 3, 5, 3, 4, 3, 1]",academic writing  anxiety  causality  writing  investment  web application  finance business finance  biostatistics,8,[2],3.25
33,"['economy', 'culture', 'electrical engineering', 'geometry', 'mechanical engineering', 'android development', 'statistical classification', 'empathy']","[5, 4, 4, 4, 4, 3, 3, 3]",economy  culture  electrical engineering  geometry  mechanical engineering  android development  statistical classification  empathy,8,"[0, 3]",3.75
34,"['virtual reality', 'web design', 'display devices', 'ordered pair', 'acoustics', 'market analysis', 'geometry']","[3, 4, 4, 3, 3, 4, 2]",virtual reality  web design  display devices  ordered pair  acoustics  market analysis  geometry,7,[5],3.2857142857142856
35,"['trading', 'inventory', 'choice', 'chemistry', 'evolution', 'data science', 'interactivity', 'data analysis']","[3, 5, 3, 5, 5, 3, 2, 1]",trading  inventory  choice  chemistry  evolution  data science  interactivity  data analysis,8,"[0, 3]",3.375
36,"['business communication', 'teaching', 'death', 'html', 'marketing strategy', 'finance']","[5, 3, 4, 3, 2, 1]",business communication  teaching  death  html  marketing strategy  finance,6,[2],3.0
37,"['writing', 'climate change', 'risk factor', 'humanitarian', 'ethics', 'apache spark', 'stack (abstract data type)']","[3, 5, 4, 3, 2, 3, 2]",writing  climate change  risk factor  humanitarian  ethics  apache spark  stack (abstract data type),7,"[2, 4]",3.142857142857143
38,"['front and back ends', 'modeling', 'finance', 'leadership and management', 'innovation', 'version control', '3d modeling']","[5, 5, 4, 5, 4, 3, 3]",front and back ends  modeling  finance  leadership and management  innovation  version control  3d modeling,7,"[1, 0]",4.142857142857143
39,"['modeling', 'data analysis', 'sorting', 'organizational culture', 'evolution']","[4, 4, 2, 3, 1]",modeling  data analysis  sorting  organizational culture  evolution,5,[1],2.8
40,"['virtual reality', 'sorting', 'causality', 'disaster', 'parent']","[4, 5, 2, 3, 2]",virtual reality  sorting  causality  disaster  parent,5,[5],3.2
41,"['human learning', 'exploratory data analysis', 'game design', 'astronomy']","[4, 4, 3, 2]",human learning  exploratory data analysis  game design  astronomy,4,[1],3.25
42,"['biology', 'infection', 'html5', 'problem solving', '.properties', 'risk management', ""euler's totient function"", 'social media', 'case study']","[5, 5, 5, 5, 3, 3, 3, 2, 1]",biology  infection  html5  problem solving  .properties  risk management  euler's totient function  social media  case study,9,"[4, 5]",3.5555555555555554
43,"['algorithms', 'map', 'general statistics', 'web', 'booking', 'graphic design', 'case study', 'psychology', 'digital marketing', 'academic writing']","[3, 4, 5, 5, 3, 3, 2, 3, 2, 2]",algorithms  map  general statistics  web  booking  graphic design  case study  psychology  digital marketing  academic writing,10,"[1, 5]",3.2
44,"['internet of things', 'arduino', 'regression', 'object detection', 'logic gate', 'risk', 'general statistics']","[4, 4, 3, 4, 2, 3, 1]",internet of things  arduino  regression  object detection  logic gate  risk  general statistics,7,"[6, 1]",3.0
45,"['ordered pair', 'market (economics)', 'python programming', 'user interface design']","[3, 5, 3, 1]",ordered pair  market (economics)  python programming  user interface design,4,"[5, 0]",3.0
46,"['html5', 'memory', 'computer programming', 'economics', 'java (software platform)']","[4, 3, 5, 2, 3]",html5  memory  computer programming  economics  java (software platform),5,[5],3.4
47,"['ethics', 'facilitation', 'computer programming', 'feature engineering', 'torque']","[4, 5, 3, 3, 1]",ethics  facilitation  computer programming  feature engineering  torque,5,"[0, 5]",3.2
48,"['leadership and management', 'documents', 'social media marketing', 'jpeg', 'bible', 'download', 'news']","[5, 4, 3, 3, 3, 2, 1]",leadership and management  documents  social media marketing  jpeg  bible  download  news,7,[0],3.0
49,"['java annotation', 'python syntax and semantics', 'computer programming', 'analysis', 'exploratory data analysis', 'english grammar', 'leadership and management business leadership-and-management', 'data mining', 'bookkeeping']","[4, 5, 5, 4, 4, 3, 2, 3, 2]",java annotation  python syntax and semantics  computer programming  analysis  exploratory data analysis  english grammar  leadership and management business leadership-and-management  data mining  bookkeeping,9,"[5, 1]",3.5555555555555554
50,"['pytorch', 'analysis', 'graphs', 'sound', '3d modeling', 'plotly']","[4, 3, 4, 3, 3, 2]",pytorch  analysis  graphs  sound  3d modeling  plotly,6,[1],3.1666666666666665
51,"['project', 'process', 'innovation', 'collaboration', 'family', 'decision tree', 'scrum (software development)', 'electrical engineering']","[3, 3, 3, 5, 3, 4, 1, 2]",project  process  innovation  collaboration  family  decision tree  scrum (software development)  electrical engineering,8,[0],3.0
52,"[""euler's totient function"", 'statistical analysis', 'regression', 'inference', 'augmented assignment', 'mobile development', 'data analysis data-science data-analysis', 'project plan']","[3, 4, 5, 5, 4, 3, 2, 2]",euler's totient function  statistical analysis  regression  inference  augmented assignment  mobile development  data analysis data-science data-analysis  project plan,8,[1],3.5
53,"['venture capital', 'marketing', 'ethics', 'change management', 'path (variable)', 'autodesk', 'statistical hypothesis testing']","[3, 4, 3, 5, 4, 3, 3]",venture capital  marketing  ethics  change management  path (variable)  autodesk  statistical hypothesis testing,7,[0],3.5714285714285716
54,"['intellectual property', 'parent', 'machine learning', 'nursing']","[3, 4, 3, 1]",intellectual property  parent  machine learning  nursing,4,[2],2.75
55,"['chemistry', 'solar systems', 'editing', 'product development']","[5, 4, 3, 3]",chemistry  solar systems  editing  product development,4,[3],3.75
56,"['bias', 'business plan', 'coaching', 'qualitative research', 'command-line interface']","[4, 4, 3, 2, 2]",bias  business plan  coaching  qualitative research  command-line interface,5,[0],3.0
57,"['video game development', 'software', 'computer programming', 'web development', 'benefits', 'interpretation', 'perception']","[5, 3, 3, 3, 4, 3, 2]",video game development  software  computer programming  web development  benefits  interpretation  perception,7,[5],3.2857142857142856
