user_id,interests,interests_text,num_interests,math_grade,science_grade,language_grade,overall_grade
0,"['anthropology', 'health policy', 'foreign policy']",anthropology  health policy  foreign policy,3,80.96,73.34,82.77,79.02
1,"['corporate bond', 'child', 'solar energy', 'c programming']",corporate bond  child  solar energy  c programming,4,93.28,72.19,72.19,79.22
2,"['partnership', 'arbitration', 'approximation', 'case study', 'ethics', 'finance', 'renewable energy']",partnership  arbitration  approximation  case study  ethics  finance  renewable energy,7,93.95,84.21,69.37,82.51
3,"['apache', 'statistical inference', 'electronics', 'solar energy', 'pandas', 'evaluation', 'political science']",apache  statistical inference  electronics  solar energy  pandas  evaluation  political science,7,81.51,69.44,69.41,73.45
4,"['history', 'accuracy and precision', 'data science', 'partnership', 'lesson plan', 'data analysis data-science data-analysis', 'essay writing']",history  accuracy and precision  data science  partnership  lesson plan  data analysis data-science data-analysis  essay writing,7,77.9,52.04,54.3,61.42
5,"['child', 'career', 'mergers & acquisitions', 'change management', 'market segmentation']",child  career  mergers & acquisitions  change management  market segmentation,5,68.25,62.85,78.77,69.96
6,"['training', 'grammar', 'augmented assignment', 'probability density function', 'social media marketing']",training  grammar  augmented assignment  probability density function  social media marketing,5,64.1,58.05,92.59,71.58
7,"['memory', 'business communication', 'speech']",memory  business communication  speech,3,72.29,75.81,57.9,68.67
8,"['virtual machine', 'user interface design', 'marketing plan', 'switches', 'economy']",virtual machine  user interface design  marketing plan  switches  economy,5,68.47,76.33,61.19,68.66
9,"['authentication', 'facilitation', 'identity management']",authentication  facilitation  identity management,3,79.51,67.79,71.5,72.93
10,"['finance', 'chi-squared distribution', 'mergers & acquisitions']",finance  chi-squared distribution  mergers & acquisitions,3,67.78,97.23,74.84,79.95
11,"['presentation', 'web development', 'materials', 'data type', 'matrices']",presentation  web development  materials  data type  matrices,5,62.31,84.87,60.35,69.18
12,"['english grammar', 'gratitude', 'brand management', 'type i and type ii errors', 'web development']",english grammar  gratitude  brand management  type i and type ii errors  web development,5,77.51,51.48,59.06,62.68
13,"['six sigma', 'foreign policy', 'data visualization', 'process management']",six sigma  foreign policy  data visualization  process management,4,77.36,83.86,77.06,79.43
14,"['hashing', 'stack (abstract data type)', ""euler's totient function"", 'journalism', 'behavioral economics', 'family']",hashing  stack (abstract data type)  euler's totient function  journalism  behavioral economics  family,6,73.61,71.39,57.26,67.42
15,"['inventory', 'null coalescing operator', 'guitar']",inventory  null coalescing operator  guitar,3,66.36,69.47,87.69,74.51
16,"['entrepreneurship', 'strategic thinking', 'interview']",entrepreneurship  strategic thinking  interview,3,79.12,53.84,78.89,70.62
17,"['regression analysis', 'negotiation', 'probability', 'creative writing']",regression analysis  negotiation  probability  creative writing,4,70.38,66.88,82.34,73.2
18,"['corporate bond', 'front and back ends', 'statistical inference', 'social psychology', 'gradient']",corporate bond  front and back ends  statistical inference  social psychology  gradient,5,87.37,86.18,64.93,79.49
19,"['peering', 'tailored access operations', 'news', 'marketing plan', ""euler's totient function"", 'copywriting', 'risk']",peering  tailored access operations  news  marketing plan  euler's totient function  copywriting  risk,7,71.29,78.98,86.71,78.99
20,"['cancer', 'autocad', 'clinical study design', 'customer experience', 'video game development', 'data science']",cancer  autocad  clinical study design  customer experience  video game development  data science,6,69.25,72.77,61.72,67.92
21,"['theory of relativity', 'biology', 'mobile app', 'methodology', 'project data-science data-analysis', 'security management']",theory of relativity  biology  mobile app  methodology  project data-science data-analysis  security management,6,60.65,84.75,91.27,78.89
22,"['sports', 'advertising', 'cloud storage', 'social media marketing', 'gratitude']",sports  advertising  cloud storage  social media marketing  gratitude,5,74.14,87.04,79.34,80.17
23,"['cloud computing security', 'infection', 'personal advertisement', 'data mining', 'presentation']",cloud computing security  infection  personal advertisement  data mining  presentation,5,67.26,79.34,93.46,80.02
24,"['gradient', 'reinforcement learning', 'digital signature']",gradient  reinforcement learning  digital signature,3,74.57,93.78,43.56,70.64
25,"['cipher', 'version control', 'information security', 'writing', 'research methods', 'type i and type ii errors', 'electronics']",cipher  version control  information security  writing  research methods  type i and type ii errors  electronics,7,84.86,76.04,71.41,77.44
26,"['mechanical design', 'data structures', 'social work', 'semantics']",mechanical design  data structures  social work  semantics,4,76.1,51.15,72.36,66.54
27,"['time management', 'javascript', 'r&d management']",time management  javascript  r&d management,3,79.29,92.73,68.78,80.27
28,"['cloud computing security', 'marketing strategy', 'interest']",cloud computing security  marketing strategy  interest,3,65.3,68.98,85.98,73.42
29,"['bias', 'fluid mechanics', 'strategic thinking', 'business communication']",bias  fluid mechanics  strategic thinking  business communication,4,78.95,68.64,81.16,76.25
30,"['qualitative research', 'bookkeeping', 'simulation']",qualitative research  bookkeeping  simulation,3,76.16,86.62,66.58,76.45
31,"['computer programming computer-science software-development', 'psychologies', 'sound design', 'dataflow']",computer programming computer-science software-development  psychologies  sound design  dataflow,4,71.07,70.29,57.44,66.27
32,"['security', 'trigonometric integral', 'path (variable)', 'entrepreneurship', 'social work']",security  trigonometric integral  path (variable)  entrepreneurship  social work,5,78.55,78.13,75.06,77.25
33,"['internet', 'news', 'mechanical design', 'phenomenon']",internet  news  mechanical design  phenomenon,4,72.18,58.02,69.95,66.72
34,"['predictive analytics', 'competitiveness', 'fundraising', 'experimental design', 'biology', 'leadership development', 'android development']",predictive analytics  competitiveness  fundraising  experimental design  biology  leadership development  android development,7,70.89,65.37,73.06,69.77
35,"['spreadsheet', 'feature engineering', 'team management', 'evaluation', 'acoustics', 'brand', 'war']",spreadsheet  feature engineering  team management  evaluation  acoustics  brand  war,7,79.85,97.63,77.09,84.86
36,"['family', 'booking', 'arbitration']",family  booking  arbitration,3,78.09,74.11,51.97,68.06
37,"['brand', 'rstudio', 'fintech', 'html', 'qualitative research']",brand  rstudio  fintech  html  qualitative research,5,74.68,75.72,100.0,83.47
38,"['social work', 'conflict resolution', 'studentized residual', 'swift programming']",social work  conflict resolution  studentized residual  swift programming,4,72.69,78.62,74.58,75.3
39,"['food security', 'proposition', 'object-oriented programming', 'ecology', 'cash flow', 'change management']",food security  proposition  object-oriented programming  ecology  cash flow  change management,6,60.98,88.71,84.02,77.9
